ignore,id,doc,toc,year,filcount,discount
450,12045,1,5,1986,70,56
451,12059,1,8,1986,2,1
452,12059,1,7,1986,2,1
453,12059,1,1,1986,5,1
454,12059,1,6,1986,1,2
455,12059,1,2,1986,0,0
456,12059,1,3,1986,9,11
457,12059,1,9,1986,28,31
458,12059,1,4,1986,0,0
459,12059,1,5,1986,44,29
460,12063,1,8,1986,2,0
461,12063,1,7,1986,1,0
462,12063,1,1,1986,26,4
463,12063,1,6,1986,15,10
464,12063,1,2,1986,0,0
465,12063,1,3,1986,27,13
466,12063,1,9,1986,54,29
467,12063,1,4,1986,2,1
468,12063,1,5,1986,182,134
469,12133,1,8,1986,0,0
470,12133,1,7,1986,0,0
471,12133,1,1,1986,4,1
472,12133,1,6,1986,3,2
473,12133,1,2,1986,0,0
474,12133,1,3,1986,28,22
475,12133,1,9,1986,52,41
476,12133,1,4,1986,0,0
477,12133,1,5,1986,17,7
478,12099,1,8,1986,99,136
479,12099,1,7,1986,69,86
480,12099,1,1,1986,1414,1266
481,12099,1,6,1986,1051,867
482,12099,1,2,1986,87,110
483,12099,1,3,1986,3864,3676
484,12099,1,9,1986,3691,3123
485,12099,1,4,1986,92,118
486,12099,1,5,1986,1786,1320
487,12087,1,8,1986,9,2
488,12087,1,7,1986,1,0
489,12087,1,1,1986,90,90
490,12087,1,6,1986,95,93
491,12087,1,2,1986,3,0
492,12087,1,3,1986,280,210
493,12087,1,9,1986,356,281
494,12087,1,4,1986,15,7
495,12087,1,5,1986,275,200
496,12011,1,8,1986,305,152
497,12011,1,7,1986,54,28
498,12011,1,1,1986,3332,3056
499,12011,1,6,1986,2248,2333
500,12011,1,2,1986,96,216
501,12011,1,3,1986,8218,7645
502,12011,1,9,1986,5043,4707
503,12011,1,4,1986,114,179
504,12011,1,5,1986,2546,2550
505,12009,1,8,1986,16,28
506,12009,1,7,1986,0,0
507,12009,1,1,1986,344,221
508,12009,1,6,1986,181,122
509,12009,1,2,1986,0,0
510,12009,1,3,1986,850,576
511,12009,1,9,1986,1150,1005
512,12009,1,4,1986,1,6
513,12009,1,5,1986,537,535
514,12117,1,8,1986,14,0
515,12117,1,7,1986,2,0
516,12117,1,1,1986,192,4199
517,12117,1,6,1986,110,97
518,12117,1,2,1986,32,6
519,12117,1,3,1986,852,682
520,12117,1,9,1986,948,872
521,12117,1,4,1986,23,16
