ignore,id,doc,toc,variable,value
633,12113,2,11,1986,23
634,12113,2,6,1986,60
635,12113,2,3,1986,115
636,12113,2,7,1986,57
637,12131,2,2,1986,1
638,12131,2,4,1986,3
639,12131,2,9,1986,15
640,12131,2,8,1986,5
641,12131,2,5,1986,83
642,12131,2,1,1986,47
643,12131,2,10,1986,94
644,12131,2,11,1986,57
645,12131,2,6,1986,15
646,12131,2,3,1986,65
647,12131,2,7,1986,78
648,12037,2,2,1986,1
649,12037,2,4,1986,0
650,12037,2,9,1986,2
651,12037,2,8,1986,0
652,12037,2,5,1986,21
653,12037,2,1,1986,9
654,12037,2,10,1986,32
655,12037,2,11,1986,8
656,12037,2,6,1986,3
657,12037,2,3,1986,31
658,12037,2,7,1986,28
659,12039,2,2,1986,0
660,12039,2,4,1986,5
661,12039,2,9,1986,22
662,12039,2,8,1986,17
663,12039,2,5,1986,112
664,12039,2,1,1986,211
665,12039,2,10,1986,149
666,12039,2,11,1986,60
667,12039,2,6,1986,32
668,12039,2,3,1986,43
669,12039,2,7,1986,196
670,12065,2,2,1986,1
671,12065,2,4,1986,2
672,12065,2,9,1986,2
673,12065,2,8,1986,3
674,12065,2,5,1986,24
675,12065,2,1,1986,32
676,12065,2,10,1986,14
677,12065,2,11,1986,8
678,12065,2,6,1986,0
679,12065,2,3,1986,17
680,12065,2,7,1986,15
681,12073,2,2,1986,2
682,12073,2,4,1986,10
683,12073,2,9,1986,49
684,12073,2,8,1986,40
685,12073,2,5,1986,242
686,12073,2,1,1986,218
687,12073,2,10,1986,430
688,12073,2,11,1986,171
689,12073,2,6,1986,8
690,12073,2,3,1986,139
691,12073,2,7,1986,179
692,12077,2,2,1986,0
693,12077,2,4,1986,0
694,12077,2,9,1986,1
695,12077,2,8,1986,0
696,12077,2,5,1986,4
697,12077,2,1,1986,0
698,12077,2,10,1986,2
699,12077,2,11,1986,1
700,12077,2,6,1986,2
701,12077,2,3,1986,4
702,12077,2,7,1986,4
703,12129,2,2,1986,0
704,12129,2,4,1986,0
705,12129,2,9,1986,11
706,12129,2,8,1986,4
707,12129,2,5,1986,26
708,12129,2,1,1986,24
709,12129,2,10,1986,13
710,12129,2,11,1986,15
711,12129,2,6,1986,6
712,12129,2,3,1986,12
713,12129,2,7,1986,8
714,12023,2,2,1986,2
715,12023,2,4,1986,10
716,12023,2,9,1986,40
717,12023,2,8,1986,11
718,12023,2,5,1986,168
719,12023,2,1,1986,137
720,12023,2,10,1986,219
721,12023,2,11,1986,92
