ignore,id,doc,toc,variable,value
544,12093,1,6,1986,29
545,12093,1,2,1986,1
546,12093,1,3,1986,70
547,12093,1,9,1986,100
548,12093,1,4,1986,1
549,12093,1,5,1986,45
550,12111,1,8,1986,15
551,12111,1,7,1986,1
552,12111,1,1,1986,217
553,12111,1,6,1986,70
554,12111,1,2,1986,2
555,12111,1,3,1986,171
556,12111,1,9,1986,472
557,12111,1,4,1986,0
558,12111,1,5,1986,239
559,12015,1,8,1986,2
560,12015,1,7,1986,2
561,12015,1,1,1986,58
562,12015,1,6,1986,34
563,12015,1,2,1986,7
564,12015,1,3,1986,194
565,12015,1,9,1986,281
566,12015,1,4,1986,13
567,12015,1,5,1986,145
568,12021,1,8,1986,16
569,12021,1,7,1986,7
570,12021,1,1,1986,156
571,12021,1,6,1986,40
572,12021,1,2,1986,10
573,12021,1,3,1986,545
574,12021,1,9,1986,589
575,12021,1,4,1986,199
576,12021,1,5,1986,332
577,12043,1,8,1986,0
578,12043,1,7,1986,0
579,12043,1,1,1986,2
580,12043,1,6,1986,3
581,12043,1,2,1986,0
582,12043,1,3,1986,6
583,12043,1,9,1986,26
584,12043,1,4,1986,0
585,12043,1,5,1986,17
586,12051,1,8,1986,1
587,12051,1,7,1986,1
588,12051,1,1,1986,13
589,12051,1,6,1986,14
590,12051,1,2,1986,0
591,12051,1,3,1986,66
592,12051,1,9,1986,84
593,12051,1,4,1986,0
594,12051,1,5,1986,47
595,12071,1,8,1986,8
596,12071,1,7,1986,8
597,12071,1,1,1986,386
598,12071,1,6,1986,164
599,12071,1,2,1986,9
600,12071,1,3,1986,1322
601,12071,1,9,1986,1138
602,12071,1,4,1986,10
603,12071,1,5,1986,443
604,12033,2,2,1986,13
605,12033,2,4,1986,20
606,12033,2,9,1986,218
607,12033,2,8,1986,159
608,12033,2,5,1986,738
609,12033,2,1,1986,7
610,12033,2,10,1986,1187
611,12033,2,11,1986,1417
612,12033,2,6,1986,842
613,12033,2,3,1986,612
614,12033,2,7,1986,244
615,12091,2,2,1986,1
616,12091,2,4,1986,3
617,12091,2,9,1986,22
618,12091,2,8,1986,14
619,12091,2,5,1986,124
620,12091,2,1,1986,169
621,12091,2,10,1986,278
622,12091,2,11,1986,67
623,12091,2,6,1986,26
624,12091,2,3,1986,147
625,12091,2,7,1986,134
626,12113,2,2,1986,2
627,12113,2,4,1986,3
628,12113,2,9,1986,42
629,12113,2,8,1986,6
630,12113,2,5,1986,92
631,12113,2,1,1986,148
632,12113,2,10,1986,158
633,12113,2,11,1986,34
634,12113,2,6,1986,23
635,12113,2,3,1986,72
636,12113,2,7,1986,55
637,12131,2,2,1986,3
638,12131,2,4,1986,3
639,12131,2,9,1986,15
640,12131,2,8,1986,9
641,12131,2,5,1986,88
642,12131,2,1,1986,66
643,12131,2,10,1986,75
644,12131,2,11,1986,76
645,12131,2,6,1986,9
646,12131,2,3,1986,58
647,12131,2,7,1986,57
648,12037,2,2,1986,0
649,12037,2,4,1986,0
650,12037,2,9,1986,2
651,12037,2,8,1986,0
652,12037,2,5,1986,15
653,12037,2,1,1986,19
654,12037,2,10,1986,20
655,12037,2,11,1986,7
656,12037,2,6,1986,1
657,12037,2,3,1986,43
658,12037,2,7,1986,32
659,12039,2,2,1986,2
660,12039,2,4,1986,3
661,12039,2,9,1986,22
662,12039,2,8,1986,11
663,12039,2,5,1986,105
664,12039,2,1,1986,77
665,12039,2,10,1986,73
666,12039,2,11,1986,28
667,12039,2,6,1986,11
668,12039,2,3,1986,53
669,12039,2,7,1986,66
670,12065,2,2,1986,0
671,12065,2,4,1986,3
672,12065,2,9,1986,7
673,12065,2,8,1986,2
674,12065,2,5,1986,28
675,12065,2,1,1986,39
676,12065,2,10,1986,22
677,12065,2,11,1986,4
678,12065,2,6,1986,1
679,12065,2,3,1986,19
680,12065,2,7,1986,8
681,12073,2,2,1986,2
682,12073,2,4,1986,26
683,12073,2,9,1986,53
684,12073,2,8,1986,70
685,12073,2,5,1986,351
686,12073,2,1,1986,310
687,12073,2,10,1986,816
688,12073,2,11,1986,506
689,12073,2,6,1986,11
690,12073,2,3,1986,352
691,12073,2,7,1986,133
692,12077,2,2,1986,0
693,12077,2,4,1986,0
694,12077,2,9,1986,5
695,12077,2,8,1986,0
696,12077,2,5,1986,6
697,12077,2,1,1986,0
698,12077,2,10,1986,2
699,12077,2,11,1986,4
700,12077,2,6,1986,12
701,12077,2,3,1986,3
702,12077,2,7,1986,4
703,12129,2,2,1986,0
704,12129,2,4,1986,0
705,12129,2,9,1986,15
706,12129,2,8,1986,4
707,12129,2,5,1986,27
708,12129,2,1,1986,21
709,12129,2,10,1986,18
710,12129,2,11,1986,16
711,12129,2,6,1986,3
712,12129,2,3,1986,24
713,12129,2,7,1986,9
714,12023,2,2,1986,5
715,12023,2,4,1986,7
716,12023,2,9,1986,45
717,12023,2,8,1986,24
718,12023,2,5,1986,236
719,12023,2,1,1986,198
720,12023,2,10,1986,228
721,12023,2,11,1986,141
722,12023,2,6,1986,14
723,12023,2,3,1986,104
724,12023,2,7,1986,32
725,12029,2,2,1986,0
726,12029,2,4,1986,3
727,12029,2,9,1986,3
728,12029,2,8,1986,0
729,12029,2,5,1986,25
730,12029,2,1,1986,23
731,12029,2,10,1986,15
732,12029,2,11,1986,15
733,12029,2,6,1986,8
734,12029,2,3,1986,15
735,12029,2,7,1986,6
736,12047,2,2,1986,1
737,12047,2,4,1986,2
738,12047,2,9,1986,6
739,12047,2,8,1986,7
740,12047,2,5,1986,44
741,12047,2,1,1986,23
742,12047,2,10,1986,49
743,12047,2,11,1986,11
744,12047,2,6,1986,11
745,12047,2,3,1986,36
746,12047,2,7,1986,15
747,12067,2,2,1986,0
748,12067,2,4,1986,2
749,12067,2,9,1986,4
750,12067,2,8,1986,0
751,12067,2,5,1986,6
752,12067,2,1,1986,4
753,12067,2,10,1986,3
754,12067,2,11,1986,0
755,12067,2,6,1986,0
756,12067,2,3,1986,1
757,12067,2,7,1986,4
758,12079,2,2,1986,4
759,12079,2,4,1986,0
760,12079,2,9,1986,4
761,12079,2,8,1986,1
762,12079,2,5,1986,29
763,12079,2,1,1986,19
764,12079,2,10,1986,33
765,12079,2,11,1986,2
766,12079,2,6,1986,6
767,12079,2,3,1986,44
768,12079,2,7,1986,9
769,12121,2,2,1986,1
770,12121,2,4,1986,0
771,12121,2,9,1986,16
772,12121,2,8,1986,4
773,12121,2,5,1986,39
774,12121,2,1,1986,34
775,12121,2,10,1986,57
776,12121,2,11,1986,11
777,12121,2,6,1986,16
778,12121,2,3,1986,42
779,12121,2,7,1986,31
780,12123,2,2,1986,1
781,12123,2,4,1986,4
782,12123,2,9,1986,6
783,12123,2,8,1986,5
784,12123,2,5,1986,36
785,12123,2,1,1986,39
786,12123,2,10,1986,45
787,12123,2,11,1986,47
788,12123,2,6,1986,10
789,12123,2,3,1986,71
790,12123,2,7,1986,15
791,12019,2,2,1986,3
792,12019,2,4,1986,12
793,12019,2,9,1986,26
794,12019,2,8,1986,4
795,12019,2,5,1986,45
796,12019,2,1,1986,55
797,12019,2,10,1986,113
798,12019,2,11,1986,327
799,12019,2,6,1986,6
800,12019,2,3,1986,54
801,12019,2,7,1986,22
802,12031,2,2,1986,24
803,12031,2,4,1986,136
804,12031,2,9,1986,177
805,12031,2,8,1986,406
806,12031,2,5,1986,211
807,12031,2,1,1986,618
808,12031,2,10,1986,1277
809,12031,2,11,1986,3478
810,12031,2,6,1986,19
811,12031,2,3,1986,709
812,12031,2,7,1986,414
813,12089,2,2,1986,0
814,12089,2,4,1986,2
815,12089,2,9,1986,12
816,12089,2,8,1986,1
817,12089,2,5,1986,18
818,12089,2,1,1986,45
819,12089,2,10,1986,68
820,12089,2,11,1986,92
821,12089,2,6,1986,3
822,12089,2,3,1986,38
823,12089,2,7,1986,17
824,12017,2,2,1986,1
825,12017,2,4,1986,7
826,12017,2,9,1986,30
827,12017,2,8,1986,11
828,12017,2,5,1986,77
829,12017,2,1,1986,109
830,12017,2,10,1986,159
831,12017,2,11,1986,88
832,12017,2,6,1986,8
833,12017,2,3,1986,56
834,12017,2,7,1986,26
835,12053,2,2,1986,4
836,12053,2,4,1986,7
837,12053,2,9,1986,50
838,12053,2,8,1986,31
839,12053,2,5,1986,76
840,12053,2,1,1986,138
841,12053,2,10,1986,130
842,12053,2,11,1986,43
843,12053,2,6,1986,4
844,12053,2,3,1986,85
845,12053,2,7,1986,44
846,12069,2,2,1986,5
847,12069,2,4,1986,11
848,12069,2,9,1986,35
849,12069,2,8,1986,49
850,12069,2,5,1986,124
851,12069,2,1,1986,217
852,12069,2,10,1986,254
853,12069,2,11,1986,126
854,12069,2,6,1986,26
855,12069,2,3,1986,261
856,12069,2,7,1986,95
857,12083,2,2,1986,2
858,12083,2,4,1986,7
859,12083,2,9,1986,61
860,12083,2,8,1986,58
861,12083,2,5,1986,197
862,12083,2,1,1986,299
863,12083,2,10,1986,432
864,12083,2,11,1986,426
865,12083,2,6,1986,47
866,12083,2,3,1986,346
867,12083,2,7,1986,161
868,12119,2,2,1986,0
869,12119,2,4,1986,0
870,12119,2,9,1986,11
871,12119,2,8,1986,12
872,12119,2,5,1986,53
873,12119,2,1,1986,37
874,12119,2,10,1986,44
875,12119,2,11,1986,24
876,12119,2,6,1986,5
877,12119,2,3,1986,158
878,12119,2,7,1986,39
879,12101,2,2,1986,17
880,12101,2,4,1986,21
881,12101,2,9,1986,119
882,12101,2,8,1986,26
883,12101,2,5,1986,261
884,12101,2,1,1986,297
885,12101,2,10,1986,435
886,12101,2,11,1986,90
887,12101,2,6,1986,16
888,12101,2,3,1986,209
889,12101,2,7,1986,153
890,12103,2,2,1986,63
891,12103,2,4,1986,55
892,12103,2,9,1986,229
893,12103,2,8,1986,215
894,12103,2,5,1986,660
895,12103,2,1,1986,988
896,12103,2,10,1986,2024
897,12103,2,11,1986,730
898,12103,2,6,1986,274
899,12103,2,3,1986,2210
900,12103,2,7,1986,563
901,12035,2,2,1986,0
902,12035,2,4,1986,0
903,12035,2,9,1986,8
904,12035,2,8,1986,1
905,12035,2,5,1986,67
906,12035,2,1,1986,35
907,12035,2,10,1986,96
908,12035,2,11,1986,12
909,12035,2,6,1986,3
910,12035,2,3,1986,72
911,12035,2,7,1986,58
912,12107,2,2,1986,3
913,12107,2,4,1986,9
914,12107,2,9,1986,63
915,12107,2,8,1986,39
916,12107,2,5,1986,144
917,12107,2,1,1986,215
918,12107,2,10,1986,385
919,12107,2,11,1986,248
920,12107,2,6,1986,9
921,12107,2,3,1986,99
922,12107,2,7,1986,133
923,12109,2,2,1986,5
924,12109,2,4,1986,1
925,12109,2,9,1986,22
926,12109,2,8,1986,25
927,12109,2,5,1986,161
928,12109,2,1,1986,152
929,12109,2,10,1986,212
930,12109,2,11,1986,71
931,12109,2,6,1986,60
932,12109,2,3,1986,117
933,12109,2,7,1986,105
934,12127,2,2,1986,53
935,12127,2,4,1986,27
936,12127,2,9,1986,66
937,12127,2,8,1986,135
938,12127,2,5,1986,501
939,12127,2,1,1986,511
940,12127,2,10,1986,869
941,12127,2,11,1986,318
942,12127,2,6,1986,28
943,12127,2,3,1986,649
944,12127,2,7,1986,421
945,12001,2,2,1986,4
946,12001,2,4,1986,29
947,12001,2,9,1986,110
948,12001,2,8,1986,177
949,12001,2,5,1986,345
950,12001,2,1,1986,418
951,12001,2,10,1986,793
952,12001,2,11,1986,9
953,12001,2,6,1986,17
954,12001,2,3,1986,241
955,12001,2,7,1986,152
956,12003,2,2,1986,0
957,12003,2,4,1986,1
958,12003,2,9,1986,6
959,12003,2,8,1986,1
960,12003,2,5,1986,15
961,12003,2,1,1986,14
962,12003,2,10,1986,14
963,12003,2,11,1986,19
964,12003,2,6,1986,2
965,12003,2,3,1986,5
966,12003,2,7,1986,40
967,12007,2,2,1986,0
968,12007,2,4,1986,1
969,12007,2,9,1986,7
970,12007,2,8,1986,9
971,12007,2,5,1986,31
972,12007,2,1,1986,48
973,12007,2,10,1986,102
974,12007,2,11,1986,74
975,12007,2,6,1986,0
976,12007,2,3,1986,47
