id,group,year,population
12113,13,1986,434
12115,1,1986,2405
12115,2,1986,8802
12115,3,1986,10850
12115,4,1986,10706
12115,5,1986,12396
12115,6,1986,12781
12115,7,1986,30804
12115,8,1986,27768
12115,9,1986,22088
12115,10,1986,34674
12115,11,1986,45980
12115,12,1986,26606
12115,13,1986,6840
12117,1,1986,3326
12117,2,1986,13641
12117,3,1986,17357
12117,4,1986,17290
12117,5,1986,18069
12117,6,1986,17802
12117,7,1986,44790
12117,8,1986,39392
12117,9,1986,24957
12117,10,1986,21042
12117,11,1986,15318
12117,12,1986,7317
12117,13,1986,2021
12119,1,1986,383
12119,2,1986,1410
12119,3,1986,1849
12119,4,1986,1837
12119,5,1986,2248
12119,6,1986,2070
12119,7,1986,3850
12119,8,1986,3203
12119,9,1986,2724
12119,10,1986,3748
12119,11,1986,3991
12119,12,1986,1693
12119,13,1986,325
12121,1,1986,336
12121,2,1986,1405
12121,3,1986,1910
12121,4,1986,1947
12121,5,1986,2091
12121,6,1986,1596
12121,7,1986,3476
12121,8,1986,3154
12121,9,1986,2537
12121,10,1986,2791
12121,11,1986,2315
12121,12,1986,1296
12121,13,1986,400
12123,1,1986,284
12123,2,1986,1085
12123,3,1986,1386
12123,4,1986,1257
12123,5,1986,1354
12123,6,1986,1241
12123,7,1986,2699
12123,8,1986,2122
12123,9,1986,1679
12123,10,1986,1780
12123,11,1986,1398
12123,12,1986,685
12123,13,1986,168
12125,1,1986,121
12125,2,1986,550
12125,3,1986,715
12125,4,1986,598
12125,5,1986,833
12125,6,1986,949
12125,7,1986,2720
12125,8,1986,1646
12125,9,1986,912
12125,10,1986,719
12125,11,1986,463
12125,12,1986,197
12125,13,1986,58
12127,1,1986,3911
12127,2,1986,14197
12127,3,1986,17302
12127,4,1986,16784
12127,5,1986,20941
12127,6,1986,23780
12127,7,1986,47075
12127,8,1986,38090
12127,9,1986,28392
12127,10,1986,38697
12127,11,1986,43096
12127,12,1986,23045
12127,13,1986,6476
12129,1,1986,179
12129,2,1986,773
12129,3,1986,1028
12129,4,1986,1001
12129,5,1986,1001
12129,6,1986,797
12129,7,1986,2013
12129,8,1986,1893
12129,9,1986,1284
12129,10,1986,1172
12129,11,1986,877
12129,12,1986,444
12129,13,1986,124
12131,1,1986,350
12131,2,1986,1341
12131,3,1986,1720
12131,4,1986,1765
