id,year,income
12039,1990,12665
12039,1991,13009
12039,1992,13974
12039,1993,14516
12039,1994,15076
12039,1995,16199
12039,1996,16566
12039,1997,17497
12039,1998,18510
12039,1999,19276
12039,2000,20259
12039,2001,21204
12039,2002,22236
12039,2003,23226
12039,2004,24752
12039,2005,26274
12039,2006,27449
12039,2007,27715
12039,2008,28114
12039,2009,27425
12039,2010,27233
12039,2011,28743
12039,2012,27762
12039,2013,28290
12041,1986,10532
12041,1987,10734
12041,1988,11217
12041,1989,11908
12041,1990,12315
12041,1991,12776
12041,1992,14311
12041,1993,14466
12041,1994,14808
12041,1995,15481
12041,1996,16309
12041,1997,17415
12041,1998,18754
12041,1999,20140
12041,2000,20675
12041,2001,23594
12041,2002,23755
12041,2003,24094
12041,2004,26459
12041,2005,27259
12041,2006,28604
12041,2007,29387
12041,2008,29677
12041,2009,29229
12041,2010,30675
12041,2011,31727
12041,2012,33029
12041,2013,33491
12043,1986,9708
12043,1987,10171
12043,1988,11648
12043,1989,12384
12043,1990,13413
12043,1991,14269
12043,1992,14837
12043,1993,15199
12043,1994,15184
12043,1995,15541
12043,1996,14464
12043,1997,14851
12043,1998,16054
12043,1999,16503
12043,2000,17606
12043,2001,20641
12043,2002,18845
12043,2003,18716
12043,2004,20000
12043,2005,20555
12043,2006,21846
12043,2007,22901
12043,2008,22141
12043,2009,21706
12043,2010,22606
12043,2011,23669
12043,2012,23833
12043,2013,24421
12045,1986,10785
12045,1987,11033
12045,1988,11666
12045,1989,12424
12045,1990,13230
12045,1991,14009
12045,1992,15305
12045,1993,15770
12045,1994,16210
12045,1995,17169
12045,1996,17978
12045,1997,18823
12045,1998,18849
12045,1999,18877
12045,2000,17160
12045,2001,18975
12045,2002,19018
12045,2003,19956
12045,2004,21679
12045,2005,22804
12045,2006,24482
12045,2007,24974
12045,2008,25975
12045,2009,24657
12045,2010,25597
12045,2011,26546
12045,2012,26615
12045,2013,27053
12047,1986,9795
12047,1987,10380
12047,1988,10811
12047,1989,11530
12047,1990,12069
12047,1991,11881
12047,1992,12629
12047,1993,12588
12047,1994,12923
12047,1995,13583
12047,1996,14007
12047,1997,14553
12047,1998,14561
12047,1999,14722
12047,2000,14744
12047,2001,14286
12047,2002,14100
12047,2003,14900
12047,2004,15849
12047,2005,17244
12047,2006,17491
12047,2007,18278
12047,2008,18898
12047,2009,18397
12047,2010,19587
12047,2011,20870
12047,2012,20163
12047,2013,20807
12049,1986,11171
12049,1987,11975
12049,1988,14790
12049,1989,15464
12049,1990,15522
12049,1991,15668
12049,1992,14454
12049,1993,14419
12049,1994,14854
12049,1995,15298
12049,1996,15643
12049,1997,16203
12049,1998,17213
12049,1999,17473
12049,2000,18048
12049,2001,19260
12049,2002,18980
12049,2003,19369
12049,2004,21255
12049,2005,22447
12049,2006,22788
12049,2007,23130
12049,2008,24032
12049,2009,23451
12049,2010,25191
12049,2011,26793
12049,2012,25311
12049,2013,25752
12051,1986,13079
12051,1987,13937
12051,1988,15773
12051,1989,15684
12051,1990,16485
12051,1991,17369
12051,1992,17147
12051,1993,17878
12051,1994,17542
12051,1995,18053
12051,1996,17654
12051,1997,18177
12051,1998,19975
12051,1999,20051
12051,2000,20609
12051,2001,21838
12051,2002,22598
12051,2003,22365
12051,2004,23194
12051,2005,24565
12051,2006,26539
12051,2007,27201
12051,2008,26339
12051,2009,26116
12051,2010,27910
12051,2011,28531
12051,2012,29319
12051,2013,30973
12053,1986,12584
12053,1987,13170
12053,1988,14732
12053,1989,15738
12053,1990,15911
12053,1991,15908
12053,1992,16512
12053,1993,17092
12053,1994,17872
12053,1995,18984
12053,1996,20082
12053,1997,21263
12053,1998,22388
12053,1999,23126
12053,2000,24758
12053,2001,25119
12053,2002,25510
12053,2003,26113
12053,2004,26721
12053,2005,27594
12053,2006,28926
12053,2007,29800
12053,2008,29742
12053,2009,29230
12053,2010,30367
12053,2011,31203
12053,2012,30965
12053,2013,31422
12055,1986,13587
12055,1987,13980
12055,1988,15247
12055,1989,16380
12055,1990,16527
12055,1991,16699
12055,1992,17058
12055,1993,17417
12055,1994,17954
12055,1995,18580
12055,1996,18924
12055,1997,19475
12055,1998,20471
12055,1999,20703
12055,2000,21373
12055,2001,22432
12055,2002,23107
12055,2003,23722
12055,2004,24613
12055,2005,25635
